cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-20.00079,33.94397,-2.5136,-0.99333,-0.10619,-0.0449,0.9958,0.0,0.0,nan,0.0,0.00609,0.04768,6.96285,1.8078,0.23416,0.4486,0.89202,0.67187,0.55316,0.89202
-20.00635,33.91738,-1.88813,-0.99447,-0.10024,0.03133,0.996,0.00146,0.0073,0.43,1.0,0.01048,0.08776,6.45491,2.47934,0.22268,0.4661,0.92215,0.74759,0.40333,0.92215
-20.01698,35.79488,-4.10751,-0.96724,-0.13806,-0.21302,0.99166,0.0,0.0,nan,0.0,0.00475,0.05441,8.41539,1.64617,0.23948,0.25048,0.2876,0.43144,0.60747,0.2876
-20.10817,35.13922,-2.92278,-0.99289,-0.09972,-0.06493,0.99751,0.0,0.0,nan,0.0,0.00679,0.07407,6.41168,1.72237,0.23504,0.41361,0.88814,0.5212,0.58059,0.88814
-20.04381,35.28841,-1.7037,-0.99581,-0.07106,0.05753,0.99882,0.0,0.0,nan,0.0,0.01627,0.08598,5.25357,1.94819,0.2275,0.26547,0.43075,0.98431,0.5133,0.43075
-20.13512,37.24298,-4.60753,-0.96391,-0.10955,-0.24264,0.99217,0.0,0.0,nan,0.0,0.0114,0.0659,7.17983,1.68786,0.23258,0.27049,0.29837,0.81756,0.59247,0.29837
-20.19497,37.02523,-2.96794,-0.99619,-0.08628,-0.01274,0.99862,0.0,0.0,nan,0.0,0.01373,0.07526,5.56696,1.67151,0.23664,0.24797,0.28014,0.99974,0.59826,0.28014
-20.07766,37.11683,-1.25784,-0.99249,-0.04783,0.11261,0.99842,0.0,0.0,nan,0.0,0.0106,0.08337,5.26349,1.9036,0.23012,0.17786,0.54852,0.98643,0.52532,0.54852
-20.29794,39.00751,-4.8394,-0.96572,-0.03971,-0.25654,0.98532,0.0,0.0,nan,0.0,0.01274,0.06218,6.20042,1.71536,0.23519,0.30377,0.48971,0.89191,0.58297,0.48971
-20.45249,38.96714,-3.02939,-0.99964,-0.02554,0.00793,0.99509,0.0,0.0,nan,0.0,0.01491,0.06346,5.53517,1.79418,0.24225,0.32281,0.57022,0.9907,0.55736,0.57022
