cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-20.01396,3.99481,1.9441,-0.94479,-0.30814,0.11148,0.93195,0.00582,0.02909,0.6,1.0,0.01647,0.05771,19.97694,1.90193,0.22856,0.34417,0.39567,0.91206,0.52578,0.39567
-20.02073,3.96419,2.14708,-0.93789,-0.30981,0.15614,0.91777,0.0,0.0,nan,0.0,0.01685,0.05833,20.16602,1.67127,0.23326,0.34034,0.42924,0.93315,0.59835,0.42924
-20.0736,5.82416,-0.81529,-0.94983,-0.26087,-0.17253,0.99396,0.00186,0.00928,0.6,1.0,0.01412,0.06654,20.10356,1.67124,0.2237,0.2898,0.60105,0.80505,0.59836,0.60105
-20.15872,5.18422,1.1031,-0.97619,-0.21662,-0.01135,0.9858,0.03705,0.18232,0.7,0.99899,0.01002,0.05182,20.55174,1.6479,0.22894,0.34972,0.68175,0.60677,0.60683,0.68175
-20.10584,5.06967,2.31292,-0.9598,-0.20703,0.18952,0.96265,0.01648,0.0824,0.7,1.0,0.01716,0.06298,22.57004,1.6479,0.23115,0.46169,0.71631,0.6425,0.60683,0.71631
-20.14364,7.22814,-2.27168,-0.90112,-0.09339,-0.4234,0.94255,0.0002,0.00098,0.6,1.0,0.01456,0.06768,22.99363,1.91674,0.21994,0.24656,0.45365,0.94813,0.52172,0.45365
-20.22801,7.01762,-1.02723,-0.96601,-0.15858,-0.20412,0.98713,0.0,0.0,nan,0.0,0.01884,0.07942,19.54244,1.75449,0.2322,0.35555,0.75299,0.74251,0.56997,0.75299
-20.38532,6.96174,1.0477,-0.98845,-0.14863,0.02957,0.996,0.13996,0.24125,0.7,0.8812,0.00849,0.08728,22.71766,1.67794,0.22293,0.3574,0.89211,0.54325,0.59597,0.89211
-20.1798,7.28094,2.60954,-0.9638,-0.12734,0.23423,0.99498,0.0415,0.20749,0.7,1.0,0.01853,0.0731,24.34582,1.6479,0.23017,0.43802,0.73632,0.62639,0.60683,0.73632
-20.10155,9.037,-2.23751,-0.85484,-0.07569,-0.51334,0.96611,0.0,0.0,nan,0.0,0.01219,0.05437,20.42035,1.90285,0.22099,0.2564,0.46234,0.96003,0.52553,0.46234
