cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score
-22.2936,1.77089,-1.08217,-0.7822,-0.61806,-0.07845,0.57419,0.0,0.0,nan,0.0,0.0
-22.3008,2.88489,-0.74452,-0.93764,-0.34732,-0.01432,0.70319,0.0,0.0,nan,0.0,0.01218
-22.40898,3.25454,0.41495,-0.82228,-0.36301,0.43827,0.66784,0.0,0.0,nan,0.0,0.01924
-22.19869,4.9138,-0.27335,-0.99977,-0.01644,0.01411,0.86228,0.0,0.0,nan,0.0,0.021
-22.61517,5.07471,0.99142,-0.91807,-0.18397,0.35115,0.72852,0.0,0.0,nan,0.0,0.01103
-22.08582,5.85255,2.06496,-0.74815,-0.35677,0.55946,0.78532,0.0,0.0,nan,0.0,0.02553
-22.06818,6.40621,-0.12295,-0.98663,-0.08055,-0.14169,0.9461,0.0,0.0,nan,0.0,0.0063
-22.72459,7.0407,0.73198,-0.99305,-0.11034,-0.04097,0.88145,0.0,0.0,nan,0.0,0.00429
-22.21973,7.10831,2.3169,-0.83936,-0.24092,0.48728,0.83636,0.0,0.0,nan,0.0,0.01805
-22.09425,9.44333,-0.16645,-0.9009,0.00169,-0.43402,0.97728,0.0,0.0,nan,0.0,0.00859
-22.7379,8.99744,0.83355,-0.98533,-0.03588,-0.16686,0.91372,0.0,0.0,nan,0.0,0.01015
-22.37573,9.08315,2.55013,-0.8797,-0.0623,0.47143,0.87956,0.0,0.0,nan,0.0,0.00935
-22.0746,10.9503,-0.151,-0.87636,0.02584,-0.48097,0.97371,0.0,0.0,nan,0.0,0.00644
-22.63309,11.02818,0.97546,-0.985,-0.02789,-0.17031,0.93289,0.0,0.0,nan,0.0,0.01329
-22.27408,11.17752,2.65671,-0.88208,-0.16321,0.44192,0.91909,0.0,0.0,nan,0.0,0.00753
-22.06342,12.62937,-0.08708,-0.84621,0.0398,-0.53136,0.98245,0.0,0.0,nan,0.0,0.01718
-22.69487,13.00741,0.95476,-0.95446,-0.01068,-0.29815,0.93915,0.0,0.0,nan,0.0,0.00914
-22.57505,12.96189,2.99615,-0.92973,-0.13215,0.34372,0.93726,0.0,0.0,nan,0.0,0.01077
-22.03477,13.57625,4.06797,-0.79284,-0.1718,0.58471,0.97251,0.0,0.0,nan,0.0,0.00333
-22.60946,14.99957,1.09223,-0.93271,-0.03177,-0.35922,0.95146,0.0,0.0,nan,0.0,0.0081
-22.67162,14.98129,3.0964,-0.96184,-0.06991,0.26454,0.96427,0.0,0.0,nan,0.0,0.00811
-22.10907,15.1621,4.21217,-0.82723,-0.10432,0.55209,0.97827,0.0,0.0,nan,0.0,0.02439
-23.06305,16.95447,0.79497,-0.86817,-0.03468,-0.49506,0.87788,0.0,0.0,nan,0.0,0.00933
-22.81502,16.94347,3.00367,-0.97285,-0.07712,0.21822,0.95345,0.0,0.0,nan,0.0,0.0166
-22.19634,17.10041,4.37077,-0.84077,-0.08403,0.53483,0.98711,0.0,0.0,nan,0.0,0.02575
-22.95005,18.99569,0.92936,-0.84637,0.04063,-0.53104,0.89059,0.0,0.0,nan,0.0,0.01101
-22.82839,19.02895,2.93475,-0.98586,-0.03269,0.16438,0.9599,0.0,0.0,nan,0.0,0.00185
-22.26553,19.07827,4.59869,-0.82303,-0.05911,0.56491,0.97659,0.0,0.0,nan,0.0,0.00139
-22.94497,20.99784,0.99613,-0.81233,0.03043,-0.58241,0.88195,0.0,0.0,nan,0.0,0.01107
-23.02406,20.94598,3.03781,-0.98805,-0.01233,0.15366,0.94312,0.0,0.0,nan,0.0,0.00652
-22.37268,21.00294,4.72538,-0.8304,-0.09675,0.54871,0.9748,0.0,0.0,nan,0.0,0.00341
-22.91648,22.96669,1.0566,-0.81185,0.05698,-0.58108,0.889,0.0,0.0,nan,0.0,0.01238
-23.04016,23.05071,3.01604,-0.99594,0.00658,0.08975,0.94242,0.0,0.0,nan,0.0,0.00538
-22.39977,23.02293,4.9009,-0.85803,-0.01669,0.51333,0.98334,0.0,0.0,nan,0.0,0.00246
-22.78841,25.01549,1.0984,-0.81366,0.07923,-0.57592,0.90072,0.0,0.0,nan,0.0,0.00685
-22.98799,25.05248,2.97988,-0.99652,0.06927,0.04625,0.93994,0.0,0.0,nan,0.0,0.0041
-22.39312,25.06309,4.98027,-0.8638,0.05115,0.50122,0.98254,0.0,0.0,nan,0.0,0.00489
-22.64253,27.05379,1.35742,-0.83731,0.0544,-0.54401,0.92127,0.0,0.0,nan,0.0,0.00783
-22.62728,27.01442,2.96752,-0.99892,0.04637,-0.00173,0.94858,0.0,0.0,nan,0.0,0.00521
-22.30311,26.94755,4.82358,-0.86748,0.03179,0.49645,0.98175,0.00486,0.0243,0.7,1.0,0.01489
-22.86695,28.95487,1.28628,-0.81699,0.00322,-0.57664,0.87241,0.0,0.0,nan,0.0,0.00915
-22.85311,28.95903,2.93764,-0.99988,-0.0096,-0.01219,0.91611,0.0,0.0,nan,0.0,0.00181
-22.30342,28.97117,4.65622,-0.89734,-0.04482,0.43906,0.99089,0.0,0.0,nan,0.0,0.0067
-22.65204,31.01982,1.40172,-0.80795,-0.08398,-0.58324,0.91204,0.0,0.0,nan,0.0,0.00936
-23.02382,31.03231,2.95737,-0.99797,-0.0634,-0.00671,0.90677,0.0,0.0,nan,0.0,0.00364
-22.32507,31.14149,4.81001,-0.90809,-0.05321,0.41538,0.99675,0.0,0.0,nan,0.0,0.00289
-22.96964,33.03175,0.85659,-0.72777,-0.21587,-0.65097,0.86725,0.0,0.0,nan,0.0,0.01154
-23.21841,32.96102,2.94461,-0.99322,-0.1129,0.02775,0.91104,0.0,0.0,nan,0.0,0.00599
-22.44877,32.94551,4.88549,-0.87994,-0.01827,0.47473,0.98989,0.0,0.0,nan,0.0,0.00647
-22.80444,35.73538,-0.20107,-0.55019,-0.34846,-0.75886,0.87748,0.0,0.0,nan,0.0,0.01602
-23.30549,34.91118,0.49002,-0.73335,-0.28667,-0.61646,0.82604,0.0,0.0,nan,0.0,0.00591
-23.29247,34.97949,2.99034,-0.9867,-0.07989,0.1416,0.97311,0.0,0.0,nan,0.0,0.01135
-22.4724,34.94559,4.99694,-0.84472,-0.0393,0.53376,0.99277,0.0,0.0,nan,0.0,0.00158
-22.02662,35.35769,6.06191,-0.75393,-0.02107,0.65662,0.97182,0.0,0.0,nan,0.0,0.00292
-22.90132,36.92733,-0.83563,-0.48767,-0.40849,-0.77157,0.84212,0.0,0.0,nan,0.0,0.0141
-23.55569,37.01175,1.00304,-0.96217,-0.15881,-0.22139,0.88522,0.0,0.0,nan,0.0,0.00282
-23.3873,37.02497,2.95976,-0.97213,-0.01573,0.23391,0.99645,0.01292,0.06458,0.7,1.0,0.01167
-22.52086,36.96841,4.9925,-0.85309,-0.03298,0.52073,0.98642,0.0,0.0,nan,0.0,0.00686
-22.0125,37.0991,6.0264,-0.73069,-0.03161,0.68197,0.97063,0.0,0.0,nan,0.0,0.0031
-22.57202,39.52575,-2.23812,-0.45383,-0.46198,-0.76198,0.87122,0.0,0.0,nan,0.0,0.01348
-23.61164,38.86679,-1.28464,-0.80357,-0.28852,-0.52061,0.79168,0.0,0.0,nan,0.0,0.00404
-23.59251,39.03192,0.99279,-0.9985,-0.05232,-0.01599,0.97639,0.0,0.0,nan,0.0,0.00744
-23.30801,38.97258,2.94647,-0.96915,0.01322,0.24613,0.99824,0.0,0.0,nan,0.0,0.0114
-22.56897,38.99119,5.03354,-0.86627,0.01298,0.49941,0.99367,0.0,0.0,nan,0.0,0.0049
-22.05965,38.625,6.07964,-0.76108,-0.02468,0.64818,0.96993,0.0,0.0,nan,0.0,0.00613
-22.02769,41.89956,-4.06229,-0.50862,-0.44571,-0.73665,0.92733,0.0,0.0,nan,0.0,0.00982
-22.8814,41.02289,-2.95227,-0.66942,-0.35242,-0.65397,0.86189,0.0,0.0,nan,0.0,0.00568
-23.61248,40.97598,-1.03289,-0.96428,-0.11552,-0.23837,0.95494,0.0,0.0,nan,0.0,0.00356
-23.62607,40.95475,0.96091,-0.99681,0.0057,0.07959,0.99565,0.00442,0.0221,0.51,1.0,0.01277
-23.25553,40.9789,2.95597,-0.9671,0.0136,0.25405,0.99833,0.0,0.0,nan,0.0,0.01409
-22.57228,41.02977,5.0291,-0.87526,-0.01722,0.48335,0.99099,0.0,0.0,nan,0.0,0.00277
-22.19267,43.14173,-4.27029,-0.67872,-0.27261,-0.68192,0.94352,0.0,0.0,nan,0.0,0.01996
-23.24067,42.96366,-3.24104,-0.8549,-0.1436,-0.49853,0.94898,0.0,0.0,nan,0.0,0.00849
-23.64504,43.03217,-1.04816,-0.99417,-0.01822,-0.10623,0.98523,0.0,0.0,nan,0.0,0.01766
-23.59733,43.06941,0.96131,-0.99508,0.01384,0.09811,0.99694,0.0,0.0,nan,0.0,0.01657
-23.18563,43.04445,3.01712,-0.97331,0.00476,0.22946,0.99784,0.0,0.0,nan,0.0,0.01279
-22.58776,43.00513,5.03703,-0.88503,-0.04518,0.46334,0.98503,0.0,0.0,nan,0.0,0.00605
-22.16306,43.15594,6.21227,-0.77006,-0.0347,0.63703,0.96477,0.0,0.0,nan,0.0,0.00304
-22.42309,45.14222,-4.34952,-0.8134,-0.15625,-0.56032,0.99545,0.0,0.0,nan,0.0,0.01
-23.44892,44.93679,-3.14425,-0.92437,-0.07261,-0.37453,0.97271,0.0,0.0,nan,0.0,0.00404
-23.6237,45.03869,-1.02721,-0.9989,-0.01159,-0.04544,0.99585,0.0,0.0,nan,0.0,0.01468
-23.5656,45.01551,0.97486,-0.99326,0.00566,0.11576,0.99655,0.01695,0.08477,0.6,1.0,0.01417
-23.17468,45.01297,3.05031,-0.978,0.01029,0.20835,0.99744,0.02269,0.11343,0.6,1.0,0.01725
-22.7723,45.01931,4.99054,-0.90085,0.00959,0.43403,0.98801,0.0,0.0,nan,0.0,0.00182
-22.23213,44.9921,6.27699,-0.79427,-0.00106,0.60756,0.96636,0.0,0.0,nan,0.0,0.00421
-22.05501,47.8978,-6.07157,-0.75539,-0.10478,-0.64684,0.98681,0.0,0.0,nan,0.0,0.00373
-22.64367,47.04523,-4.86524,-0.8434,-0.14294,-0.51792,0.99178,0.0,0.0,nan,0.0,0.00931
-23.49208,47.00731,-3.05106,-0.96292,-0.04248,-0.26643,0.98354,0.0,0.0,nan,0.0,0.00824
-23.66165,46.97328,-0.99456,-0.99963,-0.00122,-0.02722,0.99496,0.0,0.0,nan,0.0,0.01184
-23.54866,46.9934,1.02383,-0.99072,0.0064,0.1358,0.99625,0.17141,0.22657,0.6,0.82609,0.00983
-23.06464,47.00894,3.05843,-0.97708,0.01773,0.21212,0.99714,0.05011,0.25057,0.6,1.0,0.01767
-22.66956,47.03209,5.00217,-0.90699,-0.0015,0.42114,0.98254,0.0,0.0,nan,0.0,0.00302
-22.14104,46.76716,6.20945,-0.78224,-0.00421,0.62296,0.96765,0.0,0.0,nan,0.0,0.00231
-22.09662,49.09198,-6.13801,-0.75115,-0.05314,-0.65799,0.98433,0.0,0.0,nan,0.0,0.00382
