tablet,t_no,type,period,period_comments,provenience,dates,genre,archive,publication,publication_no,publication_page,seals,fingerprints,comment_3d
SM000587,,ishtar's hand,neoassyrian,,,,,,https://www.flickr.com/photos/shamash_of_mesopotamia/12295111743/,,,,,
SM036042,T-0042,tablet,old babylonian,,,,Letter,,Ardalan_2018,6,164-165,,,
SM036113,T-0113,tablet,neobabylonian,,,,,,,,,,,
SM036297,T-0297,tablet,neobabylonian,,,,,,,,,,,
SM036298,T-0298,tablet,neobabylonian,,,,,,,,,,,
SM036311,T-0311,tablet,old babylonian,,,,Letter,,Ardalan_2018,1,154-156,,,
SM036339,T-0339,tablet,old babylonian,,,,,,,,,,,
SM036359,T-0359,tablet,late old babylonian,,Sippar Region,,Payment,,Ardalan_2018,40,225-227,,maybe,
SM036373,T-0373,tablet,old babylonian,,,,,,Ardalan_2018,10,171-173,,,
SM036389,T-0389,tablet,old babylonian,,Sippar Region,Samsu-ilūna,Payment,,Ardalan_2018,41,228-231,,,
SM036390,T-0390,tablet,old babylonian,,Larsa/Isin Region,Rīm-Sîn I - Hammurapi,Legal,,Ardalan_2018,28,203-205,,maybe,
SM036412,T-0412,tablet,old babylonian,,,,,,,,,,,
SM036413,T-0413,tablet,old babylonian,,North Babylonia,Rīm-Sîn I - Hammurapi,Deliver barley,,Ardalan_2018,18,184-185,,maybe,
SM036425,T-0425,tablet,old babylonian,,Sippar Region,Rīm-Sîn I - Hammurapi,May be a juridical letter?,,Ardalan_2018,19,185-187,,maybe,
SM036432,T-0432,tablet,old babylonian,,,,Letter,,Ardalan_2018,2,156-157,,,
SM036475,T-0475,tablet,old babylonian,,,,Unk.,,Ardalan_2018,60,268-270,,yes,
SM036486,T-0486,tablet,old babylonian,,,,Delivery Silver,,Ardalan_2018,57,263-265,,,
SM036497,T-0497,tablet,old babylonian,,North Babylonia,Rīm-Sîn I - Hammurapi,Field,,Ardalan_2018,20,187-190,,,
SM036506,T-0506,tablet,middle babylonian,,,,,,publishable?,,,,maybe,
SM036507,T-0507,tablet,middle babylonian,,,,,,publishable?,,,,,
SM036547,T-0547,tablet,old babylonian,,,,Letter,,Ardalan_2018,9,169-170,,,
SM036737,T-0737,tablet,neobabylonian,,,,,,,,,,,
SM036869,T-0869,tablet,neobabylonian,,,,,,,,,,,
SM036903,T-0903,tablet,neobabylonian,,,,,,,,,,,
SM036917,T-0917,tablet,neobabylonian,,,,,,,,,,yes,
SM037023,T-1023,tablet,old babylonian,,Laras Region,Hammurapi - Samsu-ilūna,Trade,,Ardalan_2018,42,231-232,,,
SM037029,T-1029,tablet,neobabylonian,,,,,,,,,,,
SM037079,T-1079,tablet,neobabylonian,,,,,,,,,,,
SM037244,T-1244,tablet,old babylonian,,Sippar Region,Samsu-ilūna,Salutation?,,Ardalan_2018,43,232-234,,,
SM037271,T-1271,tablet,old babylonian,,,,,,,,,,,
SM037315,T-1315,tablet,Ur III,,,,,,Hussein_2020,6,414-46,,,
SM037316,T-1316,tablet,Ur III,,,,,,Hussein_2020,2,33-37,,yes,
SM037317,T-1317,tablet,Ur III,,,,,,Hussein_2020,28,91-93,,,
SM037318,T-1318,tablet,Ur III,,,,,,Hussein_2020,7,47-49,,,
SM037319,T-1319,tablet,Ur III,,,,,,Hussein_2020,9,52-55,,,
SM037321,T-1321,tablet,Ur III,,,,,,Hussein_2020,1,31-32,,yes,
SM037322,T-1322,tablet,Ur III,,,,,,Hussein_2020,16,66-68,,,
SM037323,T-1323,tablet,Ur III,,,,,,Hussein_2020,8,50-52,,,
SM037324,T-1324,tablet,Ur III,,,,,,Hussein_2020,27,88-91,,yes,
SM037326,T-1326,tablet,Ur III,,,,,,Hussein_2020,3,37-39,,yes,
SM037327,T-1327,tablet,Ur III,,,,,,Hussein_2020,4,39-40,,,
SM037377,T-1377,tablet,old babylonian,,Babylon to Isin,Samsu-ilūna,Field,,Ardalan_2018,39,223-225,,yes,
SM037447,T-1447,tablet,neobabylonian,,Sippar Library,,Literary,,Al-Rawi-George_2014,,76-83,,,
SM037519,T-1519,tablet,old babylonian,,,,Literary,,published?,,,,House plan? tablet rotate horozontally,
SM037678,T-1678,tablet,neobabylonian,,,,,,,,,,,
SM037679,T-1679,tablet,neobabylonian,,,,,,,,,,,
SM037681,T-1681,tablet,neobabylonian,,,,,,,,,,,
SM037682,T-1682,tablet,neobabylonian,,,,,,,,,,,
SM037684,T-1684,tablet,neobabylonian,,,,,,,,,,,
SM037685,T-1685,tablet,neobabylonian,,,,,,,,,yes,,
SM037686,T-1686,tablet,neobabylonian,,,,,,,,,,,
SM037687,T-1687,tablet,neobabylonian,,,,,,,,,,,
SM037717,T-1717,tablet,old babylonian,,,,,,,,,,yes,
SM037745,T-1745,tablet,Ur III,,,,,,https://commons.wikimedia.org/wiki/File:Tablet_of_Shulgi.JPG,,,,,
SM037798,T-1798,tablet,late old babylonian,,,,Unk.,,Ardalan_2018,45,236-237,,,
SM037808,T-1808,tablet,old babylonian,,,,,,,,,,,
SM037942,T-1942,tablet,old babylonian,,,,Unk.,,Ardalan_2018,58,265-266,,,
SM037958,T-1958,tablet,old babylonian,,,,,,,,,,,
SM037959,T-1959,tablet,old babylonian,,,,,,,,,yes,,
SM038185,T-2185,tablet,Ur III,,,,,,publishable?,,,,,
SM038393,T-2393,tablet,neobabylonian,,,,,,,,,,,
SM039043,T-3043,tablet,Ur III,,,,Two contracts for the sale and purchase of animals,,Kamil_2020,2,13-16,yes,yes,
SM039055,T-3055,tablet,Ur III,,,,Sale of barley,,Kamil_2018,1,139-141,yes,,
SM039085,T-3085,tablet,Ur III,,,,Two contracts for the sale and purchase of animals,,Kamil_2020,1,2023-09-13 00:00:00,yes,,
SM039156,T-3156,tablet,Ur III,,,,arabic,,Kamil_2018,2,141-143,yes,,
SM039816,T-3816,tablet,Middle Sargonic,,Adab,,distribution of loaves of bread,,Kamil-Lecompte_2021,1,21-22,,,
SM039833,T-3833,tablet,Middle Sargonic,,Adab or Isin (?).,,triple oath concerning a dusu₂-equid.,,Kamil-Lecompte_2021,2,22-24,,,
SM039859,T-3859,tablet,old babylonian,,,,Literary,,published?,,,,,
SM039861,T-3861,tablet,old babylonian,,,,,,published?,,,,PLY has an error. Need a new PLY,
SM039886,T-3886,tablet,Middle/Classical Sargonic,,Adab,,receipt (šu ba-ti) of barley,,Kamil-Lecompte_2021,3,24.0,,,
SM039887,T-3887,tablet,pre sargonic,,,,,,,,,,,
SM039899,T-3899,tablet,pre sargonic,,,,,,,5,24-25,,,
SM039941,T-3941,tablet,Middle Sargonic,,Adab,,expenditure (e₃-a) of silver,,Kamil-Lecompte_2021,,,,yes,
SM039968,T-3968,tablet,old babylonian,,,,,,,,,,,
SM039977,T-3977,tablet,Ur III,,,,arabic,,Kamil_2018,3,143-145,yes,,
SM040835,T-4835,tablet,neobabylonian,,,,,,,,,,seal,
SM041015,T-5015,tablet,Middle/Classical (?) Sargonic,,Adab.,,two fragments on workers and cereals.,,Kamil-Lecompte_2021,6-7,25.0,,,
SM041016,T-5016,tablet,Middle (?) Sargonic,,Adab,,cereals.,,Kamil-Lecompte_2021,8,26.0,,,
SM041017,T-5017,tablet,Middle Sargonic,,Adab,,delivery and expenditure of sheep,,Kamil-Lecompte_2021,9,26-27,,,
SM041020,T-5020,tablet,pre sargonic,,,,,,,,,,,
SM041034,T-5034,tablet,Ur III,,,,,,publishable?,,,,,
SM041261,T-5261,tablet,old babylonian,,,,,,,,,,,3D model with stripes
SM041262,T-5262,tablet,old babylonian,,,,,,,,,,,
SM042516,T-6516,tablet,neobabylonian,,,,,,,,,,,
SM042517,T-6517,tablet,neobabylonian,,,,,,,,,,,
SM043618,T-7618,prism,neoassyrian,,Ninive,,Royal Inscription,,Radner_2011,2,99-101,,poor quality photo,
SM043619,T-7619,prism,neoassyrian,,Ninive,,Royal Inscription,,Radner_2011,3,101-102,,poor quality photo. 3D scans helped to identify the tablet,
SM043643,T-7643,tablet,old babylonian,,Shimshara,,,,published,,,,yes,
SM043644,T-7644,tablet,old babylonian,,Shimshara,,,,published,,,,yes,
SM043645,T-7645,tablet,old babylonian,,Shimshara,,,,published,,,,,
SM043659,T-7659,tablet,old babylonian,,,,house plan,,publishable?,,,,,
SM055457,CS-540,cylinder seal,,,,,,,,,,,,
SM058204,,brick,,,,,,,published,,,,,
SM060385,S- 2179,stela,,,,,,,published,,,,,
